Event,Date,Status,Tickets Sold,Tickets Available
Monday Meditation at the Rockaway Summer House,Repeating Event,Live,0,2000
A Day of Kindfulness: Vegan Cooking & Meditation,"Jan 13, 2018 10:00 AM",Live,35,65
"NeverMind Day 1, Intensive Meditation Retreat with David Listen","Jan 14, 2018 9:00 AM",Live,42,158
"NeverMind Day 2, Intensive Meditation Retreat with David Listen","Jan 15, 2018 9:00 AM",Live,10,190
Meditate like a Buddha with Bhante Suddhaso,"Jan 17, 2018 7:30 PM",Live,7,193
Interdependence and Social Responsibility with Lama Zopa Tarchin,"Jan 18, 2018 7:00 PM",Live,19,181
WEEKEND RETREAT: Understanding Karma with Lama Zopa Tarchin,"Jan 19, 2018 8:00 PM",Live,18,232
Entering the Stream with Bhante Nalaka,"Jan 25, 2018 7:00 PM",Live,9,191
WEEKEND RETREAT: Stages of Progress with Bhante Nalaka,"Jan 26, 2018 8:00 PM",Live,15,235
Path and Fruit with Tahn Pamutto,Repeating Event,Live,0,200
WEEKEND RETREAT: The Ten Fetters with Ven. Pamutto,"Feb 2, 2018 8:00 PM",Live,3,246
The Way of Tea Ceremony,"Feb 6, 2018 7:00 PM",Live,20,180
"Inside and Out, A Day-Long Retreat with Ven. Pamutto","Feb 10, 2018 9:00 AM",Live,7,193
"Stillness and Motion, A Yoga & Meditation Retreat","Feb 11, 2018 9:00 AM",Live,15,185
3-DAY RETREAT: Still NeverMinding with David Listen,"Feb 16, 2018 8:00 PM",Live,13,237
Is Meditation Enough? with Rev. Phoebe,"Feb 22, 2018 7:00 PM",Live,5,195
WEEKEND RETREAT: Trusting the Mind with Rev. Phoebe,"Feb 23, 2018 8:00 PM",Live,2,248
10-DAY RETREAT: Vastness of Mind with Khenmo Drolma,"Mar 9, 2018 7:00 PM",Live,5,244
WEEKEND RETREAT: Awakening Creativity with Sister Ocean,"Mar 23, 2018 8:00 PM",Live,7,243
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,Repeating Event,Draft,0,100
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Jul 2, 2016 8:30 AM",Draft,0,100
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso",Repeating Event,Draft,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,Repeating Event,Draft,0,100
"ROCKAWAY BEACH, NYC: 3pm meditation with Ajahn Punnadhammo","Aug 18, 2016 7:00 PM",Draft,0,200
"EAST VILLAGE: Khenmo Drolma, meditation and talk on the Four Immeasurables","Oct 2, 2016 1:00 PM",Draft,0,200
ROCKAWAY: Meditation at the Church,"Dec 2, 2016 7:00 PM",Draft,0,100
ROCKAWAY: Meditation at the Castle,"Dec 21, 2016 7:00 PM",Draft,0,100
Weekly Meditation at the Rockaway Summer House,"Jan 2, 2017 7:00 PM",Draft,0,2000
BUSHWICK: Developing a Soft Mind with Ven. Canda,"May 21, 2017 1:00 PM",Draft,0,200
Yoga on the Beach,Repeating Event,Draft,0,100
Sutta Studies with Bhante Suddhāso,"Aug 20, 2017 1:00 PM",Draft,0,100
Elements of Experience,"Sep 27, 2017 1:00 PM",Draft,0,100
Elements of Experience,"Sep 27, 2017 1:00 PM",Draft,0,100
Right Concentration,"Dec 26, 2017 7:00 PM",Draft,0,100
3-DAY RETREAT: NeverMind with David Listen,"Jan 26, 2018 8:00 PM",Draft,0,250
Sutta Study with Tahn Pamutto,"Feb 1, 2018 1:00 PM",Draft,0,200
"Rockaway Beach, NYC: No Strings Attached with Bhante Suddhāso","Feb 20, 2016 3:00 PM",Past,0,100
Belle Harbor: Special Event - Loving Kindness with Bhante Suddhāso,"Feb 21, 2016 11:00 AM",Past,0,100
"Williamsburg, BK: Party of One with Bhante Suddhāso","Feb 21, 2016 6:00 PM",Past,0,100
